STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
13,51,1200,13051001200,2225,866,P,1639725,1584075,13,51,601,13051000601,4528,1538,P,3561093,3561006,119,119,0.01,0.01,0,0,0,0,0,0,0,0
13,51,1200,13051001200,2225,866,P,1639725,1584075,13,51,11200,13051011200,1894,1239,P,676756,676756,513,513,0.03,0.03,0.08,0.08,0,0,0,0,0,0
13,51,2900,13051002900,2986,1519,P,1591551,1591551,13,51,11400,13051011400,2042,1365,P,807064,807064,779,779,0.05,0.05,0.1,0.1,0,0,0,0,0,0
13,51,3301,13051003301,1856,888,P,1383544,1383544,13,51,1200,13051001200,2225,866,P,1650377,1594727,2178,2178,0.16,0.16,0.13,0.14,0,0,0,0,0,0
13,51,3302,13051003302,1665,681,P,1641450,1595682,13,51,1200,13051001200,2225,866,P,1650377,1594727,9106,9106,0.55,0.57,0.55,0.57,0,0,0,0,0,0
13,51,3302,13051003302,1665,681,P,1641450,1595682,13,51,3301,13051003301,1856,888,P,1391330,1391330,9964,9964,0.61,0.62,0.72,0.72,0,0,0,0,0,0
13,51,3501,13051003501,2744,1328,P,2104992,2104992,13,51,3502,13051003502,3641,1556,P,2959139,2959139,26107,26107,1.24,1.24,0.88,0.88,0,0,0,0,0,0
13,51,3502,13051003502,3641,1556,P,2935725,2935725,13,51,3501,13051003501,2744,1328,P,2081578,2081578,2693,2693,0.09,0.09,0.13,0.13,0,0,0,0,0,0
13,51,3601,13051003601,2818,1211,P,3460093,3269715,13,51,10102,13051010102,5373,1617,P,10312642,8254663,1500,1500,0.04,0.05,0.01,0.02,0,0,0,0,0,0
13,51,4001,13051004001,4361,2171,P,5580886,5578528,13,51,4300,13051004300,2615,588,P,22281557,22239683,153135,153135,2.74,2.75,0.69,0.69,0,0,0,0,0,0
13,51,4100,13051004100,1965,827,P,2682552,2551121,13,51,4209,13051004209,3175,1589,P,4611531,4054290,65490,9373,2.44,0.37,1.42,0.23,0,0,0,0,0,0
13,51,4100,13051004100,1965,827,P,2682552,2551121,13,51,4210,13051004210,4375,2202,P,2961101,2660041,9016,9016,0.34,0.35,0.3,0.34,0,0,0,0,0,0
13,51,4202,13051004202,7550,3791,P,7500245,6697783,13,51,11500,13051011500,2729,1182,P,241930517,160954691,2119,1841,0.03,0.03,0,0,0,0,0,0,0,0
13,51,4300,13051004300,2615,588,P,22540844,22365340,13,51,4001,13051004001,4361,2171,P,5436787,5434429,9036,9036,0.04,0.04,0.17,0.17,0,0,0,0,0,0
13,51,4300,13051004300,2615,588,P,22540844,22365340,13,51,4207,13051004207,3717,1747,P,1952856,1952856,49352,49352,0.22,0.22,2.53,2.53,0,0,0,0,0,0
13,51,4300,13051004300,2615,588,P,22540844,22365340,13,51,4400,13051004400,2337,890,P,1745578,1745578,48226,48226,0.21,0.22,2.76,2.76,0,0,0,0,0,0
13,51,4300,13051004300,2615,588,P,22540844,22365340,13,51,10806,13051010806,5372,2559,P,17166714,15085958,309847,176217,1.37,0.79,1.8,1.17,0,0,0,0,0,0
13,51,10101,13051010101,917,534,P,13029796,9577837,13,51,3601,13051003601,2818,1211,P,3472826,3282448,14233,14233,0.11,0.15,0.41,0.43,0,0,0,0,0,0
13,51,10101,13051010101,917,534,P,13029796,9577837,13,51,10605,13051010605,11,12,P,6701516,3850303,566763,8829,4.35,0.09,8.46,0.23,0,0,0,0,0,0
13,51,10102,13051010102,5386,1626,P,10491989,8253397,13,51,11106,13051011106,5362,2564,P,13961401,11710941,78945,0,0.75,0,0.57,0,0,0,0,0,0,0
13,51,10102,13051010102,5386,1626,P,10491989,8253397,13,51,11107,13051011107,3154,1404,P,63861444,45064934,101668,0,0.97,0,0.16,0,0,0,0,0,0,0
13,51,10501,13051010501,6229,2291,P,34200948,32383224,13,51,10803,13051010803,9882,3969,P,49511516,48643592,7270,7270,0.02,0.02,0.01,0.01,0,0,0,0,0,0
13,51,10501,13051010501,6229,2291,P,34200948,32383224,13,51,10809,13051010809,9698,4116,P,21830194,21542705,17298,17298,0.05,0.05,0.08,0.08,0,0,0,0,0,0
13,51,10501,13051010501,6229,2291,P,34200948,32383224,13,51,11600,13051011600,2307,984,P,3133090,3126880,20908,20222,0.06,0.06,0.67,0.65,0,0,0,0,0,0
13,51,10502,13051010502,3626,1486,P,14565443,14355866,13,51,4500,13051004500,4051,1646,P,6225635,6215730,30580,30580,0.21,0.21,0.49,0.49,0,0,0,0,0,0
13,51,10601,13051010601,4372,1766,P,5956310,5904415,13,51,11600,13051011600,2307,984,P,3133090,3126880,16165,16165,0.27,0.27,0.52,0.52,0,0,0,0,0,0
13,51,10603,13051010603,1778,813,P,11281987,11218869,13,51,10501,13051010501,6229,2291,P,34277562,32459670,2147,2147,0.02,0.02,0.01,0.01,0,0,0,0,0,0
